"nomscientifiqueref";"nomvernaculaire";"cdnom";"espece";"genre";"famille";"especeevalueelr";"especereglementee";"dateobservation";"codeinseecommune";"annee"
"Passer domesticus";"Moineau domestique";4525;"Passer domesticus";"Passer";"Passeridae";"false";"false";"2014-03-31";52250;2014
"Chloris chloris";"Verdier d'Europe";4582;"Chloris chloris";"Chloris";"Fringillidae";"false";"false";"2014-03-04";68375;2014
"Turdus merula";"Merle noir";4117;"Turdus merula";"Turdus";"Turdidae";"false";"true";"2014-05-25";51242;2014
"Garrulus glandarius";"Geai des chênes";4466;"Garrulus glandarius";"Garrulus";"Corvidae";"true";"false";"2014-02-04";51028;2014
"Turdus merula";"Merle noir";4117;"Turdus merula";"Turdus";"Turdidae";"true";"false";"2014-10-26";10104;2014
"Pica pica";"Pie bavarde";4474;"Pica pica";"Pica";"Corvidae";"true";"false";"2014-02-20";52250;2014
"Parus major";"Mésange charbonnière";3764;"Parus major";"Parus";"Paridae";"false";"false";"2014-05-24";10224;2014
"Fringilla coelebs";"Pinson des arbres";4564;"Fringilla coelebs";"Fringilla";"Fringillidae";"false";"false";"2014-01-19";10224;2014
"Turdus merula";"Merle noir";4117;"Turdus merula";"Turdus";"Turdidae";"true";"false";"2014-01-26";67386;2014
"Corvus corone";"Corneille noire";4503;"Corvus corone";"Corvus";"Corvidae";"true";"false";"2014-11-27";55105;2014
"Parus major";"Mésange charbonnière";3764;"Parus major";"Parus";"Paridae";"true";"false";"2014-07-13";10104;2014
"Spinus spinus";"Tarin des aulnes";889056;"Spinus spinus";"Spinus";"Fringillidae";"true";"false";"2014-03-26";51046;2014
"Sturnus vulgaris";"Étourneau sansonnet";4516;"Sturnus vulgaris";"Sturnus";"Sturnidae";"false";"true";"2014-05-28";51028;2014
"Passer montanus";"Moineau friquet";4532;"Passer montanus";"Passer";"Passeridae";"true";"false";"2014-04-20";52083;2014
"Parus major";"Mésange charbonnière";3764;"Parus major";"Parus";"Paridae";"true";"false";"2014-04-27";52250;2014
"Fringilla coelebs";"Pinson des arbres";4564;"Fringilla coelebs";"Fringilla";"Fringillidae";"true";"false";"2014-04-17";52250;2014
"Poecile palustris";"Mésange nonnette";534753;"Poecile palustris";"Poecile";"Paridae";"true";"false";"2014-01-25";67210;2014
"Garrulus glandarius";"Geai des chênes";4466;"Garrulus glandarius";"Garrulus";"Corvidae";"true";"false";"2014-11-01";10224;2014
"Troglodytes troglodytes";"Troglodyte mignon";3967;"Troglodytes troglodytes";"Troglodytes";"Troglodytidae";"false";"false";"2014-07-13";10104;2014
"Turdus merula";"Merle noir";4117;"Turdus merula";"Turdus";"Turdidae";"true";"false";"2014-02-13";51108;2014
"Cyanistes caeruleus";"Mésange bleue";534742;"Cyanistes caeruleus";"Cyanistes";"Paridae";"false";"false";"2014-02-09";68058;2014
"Parus major";"Mésange charbonnière";3764;"Parus major";"Parus";"Paridae";"true";"false";"2014-06-10";52121;2014
